Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1030373.0,,1687390,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,31521.0,,72270,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,458,Malaysia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,7856852.0,,6805562,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,52323.0,,88880,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,504,Morocco,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,3364.0,,21630,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,4228573.0,,5290302,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,60866.0,,108145,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,598,Papua New Guinea,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,13686151.0,,12151818,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,616,Poland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,2218.0,,3050,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,9832.0,,20919,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,620,Portugal,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1003.0,,2135,,,0
